NOAA_FIP,NOAA_Zone,County,FIP,Latitude,Longitude,NOAA ID,County Name,Date,Type,Direct Deaths,Direct Injuries,Property Damage,Crop Damage,Indirect Injuries,Indirect Deaths
018,Carquinez Strait and Delta,Solano,095,38.1432,-121.7623,532944.0,CARQUINEZ STRAIT AND DELTA (ZONE),07/04/2014,Wildfire,0.0,0.0,2500000.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,Solano,095,38.1432,-121.7623,596897.0,CARQUINEZ STRAIT AND DELTA (ZONE),07/22/2015,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,Solano,095,38.1432,-121.7623,715504.0,CARQUINEZ STRAIT AND DELTA (ZONE),09/23/2017,Wildfire,0.0,0.0,2000000.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,Solano,095,38.1432,-121.7623,725590.0,CARQUINEZ STRAIT AND DELTA (ZONE),10/08/2017,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,Solano,095,38.1432,-121.7623,767472.0,CARQUINEZ STRAIT AND DELTA (ZONE),06/30/2018,Wildfire,0.0,0.0,0.0,0.0,1.0,0.0
019,Northern San Joaquin Valley,Amador,005,37.7581,-121.041,837849.0,NORTHERN SAN JOAQUIN VALLEY (ZONE),06/25/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
019,Northern San Joaquin Valley,Calaveras,009,37.7581,-121.041,837849.0,NORTHERN SAN JOAQUIN VALLEY (ZONE),06/25/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
019,Northern San Joaquin Valley,San Joaquin,077,37.7581,-121.041,837849.0,NORTHERN SAN JOAQUIN VALLEY (ZONE),06/25/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
019,Northern San Joaquin Valley,Stanislaus,099,37.7581,-121.041,837849.0,NORTHERN SAN JOAQUIN VALLEY (ZONE),06/25/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
019,Northern San Joaquin Valley,Tuolumne,109,37.7581,-121.041,837849.0,NORTHERN SAN JOAQUIN VALLEY (ZONE),06/25/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
034,San Luis Obispo County Central Coast,San Luis Obispo,079,35.327,-120.7407,718124.0,SAN LUIS OBISPO COUNTY CENTRAL COAST (ZONE),07/06/2017,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
035,Santa Barbara County Central Coast,Santa Barbara,083,34.7217,-120.4263,652816.0,SANTA BARBARA COUNTY CENTRAL COAST (ZONE),09/17/2016,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
036,Santa Ynez Valley,Santa Barbara,083,34.6833,-120.0816,718125.0,SANTA YNEZ VALLEY (ZONE),07/06/2017,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
036,Santa Ynez Valley,Santa Barbara,083,34.6833,-120.0816,718128.0,SANTA YNEZ VALLEY (ZONE),07/08/2017,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
037,San Luis Obispo County Interior Valleys,San Luis Obispo,079,35.4918,-120.3516,652811.0,SAN LUIS OBISPO COUNTY INTERIOR VALLEYS (ZONE),08/13/2016,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
037,San Luis Obispo County Interior Valleys,San Luis Obispo,079,35.4918,-120.3516,652814.0,SAN LUIS OBISPO COUNTY INTERIOR VALLEYS (ZONE),09/01/2016,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
038,Cuyama Valley,Santa Barbara,083,34.9422,-119.7374,,,,,,,,,,
039,Santa Barbara County South Coast,Santa Barbara,083,34.4568,-119.9036,718130.0,SANTA BARBARA COUNTY SOUTH COAST (ZONE),07/08/2017,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
039,Santa Barbara County South Coast,Santa Barbara,083,34.4568,-119.9036,729840.0,SANTA BARBARA COUNTY SOUTH COAST (ZONE),12/04/2017,Wildfire,1.0,0.0,0.0,0.0,0.0,0.0
040,Ventura County Coast,Ventura,111,34.2181,-119.1214,439712.0,VENTURA COUNTY COAST (ZONE),05/02/2013,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
040,Ventura County Coast,Ventura,111,34.2181,-119.1214,729836.0,VENTURA COUNTY COAST (ZONE),12/04/2017,Wildfire,1.0,0.0,0.0,0.0,0.0,0.0
040,Ventura County Coast,Ventura,111,34.2181,-119.1214,795852.0,VENTURA COUNTY COAST (ZONE),11/08/2018,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
040,Ventura County Coast,Ventura,111,34.2181,-119.1214,795860.0,VENTURA COUNTY COAST (ZONE),11/08/2018,Wildfire,3.0,0.0,0.0,0.0,0.0,0.0
040,Ventura County Coast,Ventura,111,34.2181,-119.1214,863912.0,VENTURA COUNTY COAST (ZONE),10/31/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
040,Ventura County Coast,Ventura,111,34.2181,-119.1214,863915.0,VENTURA COUNTY COAST (ZONE),11/01/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
041,Los Angeles County Coast including Downtown Los Angeles,Los Angeles,037,33.9281,-118.3004,795857.0,LOS ANGELES COUNTY COASTS INCLUDING DOWNTOWN LOS ANGELES (ZONE),11/08/2018,Wildfire,3.0,0.0,0.0,0.0,0.0,0.0
043,San Diego County Coastal Areas,San Diego,073,32.9783,-117.2367,250167.0,SAN DIEGO COUNTY COASTAL AREAS (ZONE),07/13/2010,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
043,San Diego County Coastal Areas,San Diego,073,32.9783,-117.2367,481199.0,SAN DIEGO COUNTY COASTAL AREAS (ZONE),10/05/2013,Wildfire,0.0,0.0,10000.0,0.0,0.0,0.0
043,San Diego County Coastal Areas,San Diego,073,32.9783,-117.2367,522980.0,SAN DIEGO COUNTY COASTAL AREAS (ZONE),05/14/2014,Wildfire,0.0,0.0,22500000.0,0.0,0.0,0.0
043,San Diego County Coastal Areas,San Diego,073,32.9783,-117.2367,522919.0,SAN DIEGO COUNTY COASTAL AREAS (ZONE),05/14/2014,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
043,San Diego County Coastal Areas,San Diego,073,32.9783,-117.2367,522942.0,SAN DIEGO COUNTY COASTAL AREAS (ZONE),05/15/2014,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
043,San Diego County Coastal Areas,San Diego,073,32.9783,-117.2367,522947.0,SAN DIEGO COUNTY COASTAL AREAS (ZONE),05/16/2014,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
044,Ventura County Interior Valleys,Ventura,111,34.3941,-119.1198,729837.0,VENTURA COUNTY INTERIOR VALLEYS (ZONE),12/04/2017,Wildfire,1.0,0.0,0.0,0.0,0.0,0.0
044,Ventura County Interior Valleys,Ventura,111,34.3941,-119.1198,863911.0,VENTURA COUNTY INTERIOR VALLEYS (ZONE),10/31/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
044,Ventura County Interior Valleys,Ventura,111,34.3941,-119.1198,863913.0,VENTURA COUNTY INTERIOR VALLEYS (ZONE),11/01/2019,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
